class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	302	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	20	75	47	159	55	112	133	189	77	159	56	82	251	306	47	159	55	112	135	189	8	59	54	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Druid	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Assassin	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Amazon2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
Sorceress2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
Necromancer2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
Paladin2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
Barbarian2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	3	4	198	285	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	107	219	55	112	213	269	137	219	56	82	331	386	107	219	55	112	215	269	68	119	54	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Druid2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
Assassin2	400	720	60	501	10	9	419	706	183	443	29	29	409	464	66	178	55	112	531	587	68	150	56	82	655	710	66	178	55	112	474	528	68	119	54	51	489	512	127	151	23	24	474	497	156	180	23	24	506	529	156	180	23	24	534	586	155	180	52	25	594	648	128	180	54	52	594	648	69	122	54	53
